文字列送付		Control+[
右へ進む			Control+F,Right
左へ進む			Control+B,Left
行の先頭			Control+A,Alt+Left
行の終端			Control+E,Alt+Right
右削除			Control+D,Delete
左削除			Control+H,Backspace
漢字をかなに戻す		Control+k,Alt+Up,Muhenkan
N文字無変換		Shift+F6
連文節変換		Control+w,Kanji
郵便番号変換		Shift+F2
電話番号変換		Shift+F3
単漢字変換		Shift+F1
小文節単変換		Control+z
小文節次候補		Control+n,Down
小文節前候補		Control+p,Up
小文節次候補一覧		Control+z,Control+w,Alt+Down,Kanji,0x20
異形字変換		Shift+F8
連想変換			Shift+F9
かな文字列消去		Control+k,ALt+Up
ヤンク			Control+y
文節拡張			Control+o,F14
文節縮小			Control+i,F13
単語登録起動		Control+t
単語登録起動(E)		Alt+F36
文字列確定		Control+l,Control+m,Control+j,Execute
一文字確定		Shift+F5
直前入力読み文字列		Control+u
直前入力読み文字列(E)	F37
区点入力			Control+]
区点入力(E)		Control+F1,Alt+F13,Alt+EisuShift
補助漢字区点入力(E)	Control+Shift+F1
JISコード			Control+_
JISコード(E)		Control+F2,Alt+F14
シフトJISコード(E)		Control+F9
補助漢字JISコード(E)	Control+Shift+F2
再表示			Control+r
確定文字列(一つ前)(E)	Up
確定文字列(一つ前)		Control+p
確定文字列(一つ後)(E)	Down
確定文字列(一つ後)		Control+n
全ヒストリ(E)		Shift+F4
キャンセル		Control+g,Alt+Down,Muhenkan
変換再編集		Control+c
クオートする		Control+v
候補選択モード		Control+j,Control+m,Kanji,Execute
画面の最後へ移動		Control+e,Alt+Right
画面の先頭へ移動		Control+a,Alt+Left
前選択			Control+p,Up
次選択			Control+n,Down
逆・左移動		Control+b,Left
正・右移動		Control+f,Right,0x20
次ページ選択		F35
前ページ選択		F29
小文節伸し変換		Control+z,Control+w,Kanji,0x20
部首入力(E)		Shift+F7
次の区へ			Tab
前の区へ			Shift+ISO_Left_Tab
ひらがな			F6
カタカナ			F7
半角			F8
英数			F9
ギリシャ語入力		Control+F4
記号一覧入力		Control+F3
ロシア語入力		Control+F5
楽々入力候補選択		Tab
逆引変換			Shift+F10
コード一覧		Shift+F12
